ID_Mensaje,Remitente,Asunto,Resumen,ID_Pedido,Texto_Incidencia,Texto_Procesado,Categoria_Origen,Sentimiento,Emocion,Prioridad,Estado
1777483942635004500,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_09ab0456,[OCULTO POR PRIVACIDAD],re acus recib redevolu facilit dat solicit n ped situacion ped realic ped sudader posterior cambi no disponibil tall devolu prend anterior hic traves corre,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777483869872004200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],tall camiset grap graphic tee buen tard quis sab si van repon tall camiset grap graphic tee necesit xs s. graci marg,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777483384147014200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_0d0dc8b8,[OCULTO POR PRIVACIDAD],re confirm ped hol nuev no indic web segun termin condicion 90eur peninsul indic bien clar envi enlac mism captur aparec ademas tampoc dej aplic codig descuent bienveni,PEDIDO PERDIDO,NEG,others,ALTA (Urgente),Abierto
1777482973788004500,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_09ab0456,[OCULTO POR PRIVACIDAD],devolu buen tard nombr etienn oroz corre electron etiorozgmail.com realic ped sudader posterior cambi no dispon tall prend original devuelt traves corre embarg fech,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777482939430003600,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_ed7f680b,[OCULTO POR PRIVACIDAD],re redevolucion ped ped hol duni buen tardessab envi paquet favor agradec pud agiliz envi graci yaho mail busc organiz conquist,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777482791104014200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re ped incomplet hol paquet ven golp cint levant abri paquet si nad di cuent falt dos sudader on wed apr at duni sanchis rodriguez atencionalclienteesenziaclub.com wrot,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777482561325014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re asunt hol val si problem quier devolv jersey lleg no dej devolv no dais ningun solucion voy perd plaz devolucion tardanz segund product no lleg hac,INCIDENCIA GENERAL,NEG,anger,ALTA (Urgente),Abierto
1777482392861004200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],buen sig esper seguimient ped dij ayer todav nad dieg antolin bravosant mari hispanidadmadr spain,INCIDENCIA GENERAL,NEG,others,ALTA (Urgente),Abierto
1777482194881003600,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_5ddda7f9,[OCULTO POR PRIVACIDAD],re incident ped relacion corre anterior indic gast envi inicial no pued ser reembols trat gast adicional ped gust aclar punt proced devolu precis,PEDIDO PERDIDO,NEU,others,MEDIA,Abierto
1777482130240014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],ped hol buen tard realic ped confund pon maner envi quer lleg cas vez recog tiend podr solucion,INCIDENCIA GENERAL,NEG,others,ALTA (Urgente),Abierto
1777482070523014200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re paquet sal pendient recog sevill acord direccion envi call jos pern peñ n17 poi pontevedr codig postal mie abr duni sanchis rodriguez atencionalclienteesenz,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777481595948014200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],buen tard aun no recib sudader blanc ped numer 128378.me podr inform mism graci,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777481566143004200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_a58c7304,[OCULTO POR PRIVACIDAD],re cas proced much graci mie abr duni sanchis rodriguez atencionalclienteesenziaclub.com escrib,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777481303494003600,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re envi perd si justif entreg no mie abr duni sanchis rodriguez atencionalclienteesenziaclub.com escrib,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777481265446003600,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_c5bd3e9d,[OCULTO POR PRIVACIDAD],re ped sid envi proces bord hol final no hac falt mand qr consegu paquet codig seguimient much graci salud envi iphon,INCIDENCIA GENERAL,POS,others,BAJA,Abierto
1777481228849004500,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],ped no recib buen contact hic ped hac dias aproxim ped part dosun prend prend recib dos dias hac ped primer prend cuy prend supon lleg punt recog,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777480454546015100,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],buen ped ped camiset sudader no lleg sudader gmail pon entreg,INCIDENCIA GENERAL,NEG,others,ALTA (Urgente),Abierto
1777480461760004500,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re asunt pag much graci mie abr jaim angul jaimeap2007gmail.com escrib,TARA PROVEEDOR,NEU,others,MEDIA,Abierto
1777480371725004500,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re asunt cuant import pag mie abr duni sanchis rodriguez atencionalclienteesenziaclub.com escrib,TARA PROVEEDOR,NEU,others,MEDIA,Abierto
1777479787202015100,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re incident ped perfect graci mie abr duni sanchis rodriguez atencionalclienteesenziaclub.com escrib,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777479686045004200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_fd1f9c2b,[OCULTO POR PRIVACIDAD],support request investigat delay order for order esens1129006 been solv helpdesk support request investigat delay order for order esens1129006 been solv hell duni the request is clos and does not requir furth action order esens1129006 investigat delay order cheers the bigblu team the futur,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777479384007003600,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re envi perd graci cas dia pag llev cas no entiend dej ahi entiend dig pregunt vecin no cre ir pregunt puert puert molest p,PEDIDO PERDIDO,NEG,others,ALTA (Urgente),Abierto
1777478860110014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_06589100,[OCULTO POR PRIVACIDAD],re p captur mand abril cre hor vuelv insist dig unic perjudic teneismi diner ped mie abr vanes coron hernandez van,INCIDENCIA GENERAL,NEG,others,ALTA (Urgente),Abierto
1777478721826004200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re ped recib incomplet se no problem favor lee correct corre bien explic desgl ahi.graci salud noeli gonzalez fernandezdepartament administrativotlf 23c enriqu fuent quintan n 4c,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777478712944014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re cambi devolu sudader quier sab si pued hac tiend si pued cambi tall alli web no dispon mie abr duni sanchis rodriguez atencionalclienteesenziaclub.com escrib,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777478672292004200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_292ce7a9,[OCULTO POR PRIVACIDAD],re acus recib reped recib incomplet numer ped falt sudader ped dos lleg seur dos lleg mrw ultim ped incomplet falt sudader apres ski hoodi paquet const entreg l,INCIDENCIA GENERAL,NEG,others,ALTA (Urgente),Abierto
1777478618279014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_06589100,[OCULTO POR PRIVACIDAD],re p fijat rap contest corre mie abr vanes coron hernandez vanesacoronado1981gmail.com escrib,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777478566662015100,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re redat ped much graci duni sanchis rodriguez atencionalclienteesenziaclub.com envi mart abril pili parreñ pilarika149hotmail. asunt redat ped buen indic dat,PEDIDO PERDIDO,NEU,others,MEDIA,Abierto
1777478554026004200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_06589100,[OCULTO POR PRIVACIDAD],re p no entiend dig usted sab paquet no recib ido corre dic madr cual problem no pens dar solucion hablam clar pong denunci archiv,INCIDENCIA GENERAL,NEG,anger,ALTA (Urgente),Abierto
1777478373251004200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],"re acus recib remi paquet sid devuelt remitent numer ped 10104590situacion ped sid devuelt mañan remitent establec lock rhpetroil ctra.a8006 km 13,6 alcal rio numer seguimient remitent 98090788. pod ayudarm",INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777478288581014200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re ped no entiend si hic ped pon stock dej hac parec profesional part si no lleg ser corre no enter no iba recib ped diner,INCIDENCIA GENERAL,NEG,anger,ALTA (Urgente),Abierto
1777478183339015100,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],sudader hol buen regal dia sudader qued grand gust devolv model brick signatur hoodi podr mir si sudader dispon estand badajoz tall s xs graci,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777477996194003600,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_3cddfd34,[OCULTO POR PRIVACIDAD],re resolicitud direccion envi no import corr gast envi salud segur piluc lopez segur necesit duni sanchis rodriguez atencionalclienteesenziaclub.com envi miercol abril,PEDIDO PERDIDO,NEU,others,MEDIA,Abierto
1777477648845014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_1e4c9948,[OCULTO POR PRIVACIDAD],re esenzi devolu envi ped devolu realiz sol lleg sudader roj tall l hic cambi dos.m falt lleg sudader azul tall l. mie abr duni sanchis rodriguez atencionalclientees,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777477296551003601,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re codig descuent okeeey much graci pendient no rebaj envi outlook ios duni sanchis rodriguez atencionalclienteesenziaclub.com envi wednesday april pm mart ver lagun marta3,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777476971447004500,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],tailor wov solutions for your brand greetings atencionalclient following our introduction wed lik to showc how ningb changlong garment can support your wov wear requirements with accredit factori across chin and cambodi we provid adapt production quantiti,INCIDENCIA GENERAL,POS,others,BAJA,Abierto
1777476885634004500,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_70db4c91,[OCULTO POR PRIVACIDAD],re ped luis hidalg sorian hol buen pag adjunt captur comprob algun tip seguimient ped part ahor much graci envi iphon,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777476856469004500,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_06589100,[OCULTO POR PRIVACIDAD],re acus recib re order issu at delivery buen tard acab ir corre dic no sal madr quier dec usted engañ vam no sal madr acab dec jej corre huelv solicit nuev envi form,INCIDENCIA GENERAL,NEG,others,ALTA (Urgente),Abierto
1777476689602003600,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re problem envi ped muchisim graci codig promocional tard respond quer ver si lleg ped lament nunc lleg quer pregunt si algun form rastr much graci on tue apr at duni sanc,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777476427973004500,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_5ddda7f9,[OCULTO POR PRIVACIDAD],re incident ped buen duni prim lug graci respuest no obstant reiter cas no trat devolu desist sin product defect fabric acuerd normat vigent materi consumi,PEDIDO PERDIDO,NEU,others,MEDIA,Abierto
1777476300639014300,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],mail delivery status notification delay this messag was creat automatically by mail delivery system this is warning messag only you do not need to resend your messag the original messag was receiv at wed apr from atencionalclienteesenziaclub.com aten,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777476256304003600,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re acus recib re mie abr duni sanchis rodriguez atencionalclienteesenziaclub.com escrib,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777476239549014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],"re problem pag web ahor sal direct carrit no dej compr 29,90 aplic cupon verd sient decepcion sient engañ jos ignaci fernandez bartolomel punt iceberg edicion huid",INCIDENCIA GENERAL,NEG,anger,ALTA (Urgente),Abierto
1777476061212004200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_249e1ef1,[OCULTO POR PRIVACIDAD],re acus recib re confirm ped val much graci cordial salud mie abr duni sanchis rodriguez atencionalclienteesenziaclub.com escrib,PEDIDO PERDIDO,NEU,joy,MEDIA,Abierto
1777475993956014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_28d392b2,[OCULTO POR PRIVACIDAD],re ped buen much graci rap respuest confirm abon adjunt comprob qued esper recib direccion madr indic call padr claret madr saludosmarin mie abr,PEDIDO PERDIDO,NEU,others,MEDIA,Abierto
1777475866015004501,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_aaabe48f,[OCULTO POR PRIVACIDAD],re order confirm buen tard ok no problem no recib crei habi perd paquet cos ee gast ee envi pag dos vec entreg domicili ir centr recog,PEDIDO PERDIDO,NEU,others,MEDIA,Abierto
1777475814795015100,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],hol buen hac dias hic ped jersey sudader jersey si lleg sudader no esper lleg sudader quier devolv jersey no va bien aqui dej fot d,INCIDENCIA GENERAL,NEG,others,ALTA (Urgente),Abierto
1777475803938004500,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re incident ped genial muchisim graci envi realiz verd salud mie abr duni sanchis rodriguez atencionalclienteesenziaclub.com escrib,INCIDENCIA GENERAL,POS,joy,BAJA,Abierto
1777475770156004200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],no pued devolv ped met portal devolu no encuentr ped aunqu pong correct ultim digit corre electron ped cuestion iggbecegmail.com,INCIDENCIA GENERAL,NEG,others,ALTA (Urgente),Abierto
1777475734216014200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_a58c7304,[OCULTO POR PRIVACIDAD],re sal enlac mie abr eduard gonzalez edugonmoreno22gmail.com escrib,TARA PROVEEDOR,NEU,others,MEDIA,Abierto
1777475677590014200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_a58c7304,[OCULTO POR PRIVACIDAD],re todav no mie abr duni sanchis rodriguez atencionalclienteesenziaclub.com escrib,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777475521622004200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_ffc53674,[OCULTO POR PRIVACIDAD],support request other for order esens1125618 been solv helpdesk support request other for order esens1125618 been solv hell duni the request is clos and does not requir furth action order esens1125618 other cheers the bigblu team the futur of logistics you can manag your notification,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777475363210014200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re asunt hell i hav already request return for product howev as you can see in the attachment i would lik to chang the return method kind regards on wed apr duni sanchis rodriguez atencionalclienteesenziaclub.com w,TARA PROVEEDOR,NEU,others,MEDIA,Abierto
1777474898491004500,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_58656f1c,[OCULTO POR PRIVACIDAD],re ped call lopez peñ sn santiag riber murci 30720. suel dej paquet aven sandoval santiag riber oficin corre aqu problem repartidor corre sol abre mañan,INCIDENCIA GENERAL,NEG,others,ALTA (Urgente),Abierto
1777474762928015100,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_20b68fe2,[OCULTO POR PRIVACIDAD],re ped buen duni vez pag proced envi camiset direccion factur no call picach n9 portal 3b malag recuerd aqu simplement sab graci men cuant tard,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777474203416003600,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_c5bd3e9d,[OCULTO POR PRIVACIDAD],re ped sid envi proces bord numer ped asunt necesit qr envi iphon,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777474126879004400,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],undeliver mail return to send this messag was creat automatically by mail delivery softwar messag that you sent could not be deliver to one or mor of its recipients this is permanent error contactformbigblueapp.com domainnotresolv reportingmt dns mx.z,INCIDENCIA GENERAL,NEG,others,ALTA (Urgente),Abierto
1777473754611014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],paquet ped n129418 supon lleg domicili tras habl anterior pued ver seguimient graci,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777473645917015100,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_c5bd3e9d,[OCULTO POR PRIVACIDAD],re acus recib reqr esens1128951 numer ped necesit qr mandemel graci envi iphon,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777473589285014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],punt recog hol quier sab punt recog codig postal,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777473589243014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_c5bd3e9d,[OCULTO POR PRIVACIDAD],order other issu necesit qr recog ped cristinarb73icloud.com not the following information is for internal use order esens1128951 custom cristin rodriguez bues contact from esenzi tracking pageemails category,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777473526711014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],qr hol ros dej recog ped farmaci valdebeb madr favor mandam qr no dej recog graci salud envi iphon,INCIDENCIA GENERAL,NEG,others,ALTA (Urgente),Abierto
1777473506345004200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],qr envi iphon,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777473469388015100,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_58656f1c,[OCULTO POR PRIVACIDAD],support request other for order esens1129065 been answer helpdesk support request other for order esens1129065 been answer hell duni you hav receiv an answer the request is still open order esens1129065 other cheers the bigblu team the futur of logistics you can manag your notifications,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777473320390014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re asunt entonc si pued ser l perdon lio much graci mie abr duni sanchis rodriguez atencionalclienteesenziaclub.com escrib,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777473171073004400,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],mail delivery status notification delay this messag was creat automatically by mail delivery system this is warning messag only you do not need to resend your messag the original messag was receiv at wed apr from atencionalclienteesenziaclub.com aten,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777472906615014200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_c5bd3e9d,[OCULTO POR PRIVACIDAD],re ped sid envi proces bord mandem favor qr no dej recog ped graci salud envi iphon,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777472870600014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_c5bd3e9d,[OCULTO POR PRIVACIDAD],re ped sid envi proces bord hol no dej recog ped dos sudader farmaci valdebeb madr qr favor mandemel qr urgent much graci salud envi iphon,INCIDENCIA GENERAL,NEG,others,ALTA (Urgente),Abierto
1777472842418014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_c5bd3e9d,[OCULTO POR PRIVACIDAD],re ped sid envi proces bord buen tard no dej recog ped dos sudader farmaci no ningun qr favor podr enviarmel graci salud envi iphon,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777472803420015100,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re asunt pues entonc mand l si pued ser much graci mie abr duni sanchis rodriguez atencionalclienteesenziaclub.com escrib,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
