Nº PEDIDO,MOTIVO EXPRÉS,MOTIVO,CANAL,FOTO,ESTADO,RESPONSABLE,Fecha incidencia,SOLUCION,Fecha resolución
#96986,PEDIDO MAL ENTREGADO,"LE LLEGA EL POLAR SIN EL BORDADO EN LA ESPALDA, LE LLEGA LA PRENDA DUPLICADA DELPEDIDO 97986.",MAIL,,SOLUCIONADO,dunia sanchis rodriguez,01/13/2026,PEDIMOS RECOGIDA A MRW Y ARREGLAMOS LA PRENDA,
#93440,DEVOLUCIONES CORTE INGLES,CLIENTE TRAMITA DEVOLUCION EN TIENDA PARA HACERLO EN ECI PERO NO ES POSIBLE,MAIL,,SOLUCIONADO,dunia sanchis rodriguez,01/14/2026,ENVIAMOS DIRECCION DE SEVILLAY EL CLIENTE SE TIENE QUE HACER CARGO DE ENVIAR LA PRENDA,
#113925,DEVOLUCIONES CORTE INGLES,CLIENTE TRAMITA DEVOLUCIÓN A TIENDA FÍSICA Y NO HAY TIENDA EN SU CIUDAD,MAIL,,SOLUCIONADO,dunia sanchis rodriguez,01/13/2026,ENVIAMOS LA DIRECCION DE SEVILLA Y EL CLIENTE SE TIENE QUE HACER CARGO DE ENVIAR LA PRENDA POR SU CUENTA,
#112450 y #112446,PEDIDO DUPLICADO POR EL CLIENTE,CLIENTE HACE DOS PEDIDOS IGUALES Y SON BORDADOS,MAIL,,SOLUCIONADO,dunia sanchis rodriguez,01/19/2026,LE DAMOS AL CLIENTE LA OPCION DE REEMBOLSARLE LA PARTE PROPORCIONAL AL PRECIO DE COSTE (25€). ESTAMOS A ESPERAS DE RESPUESTA. EL CLIENTE FINALMENTE ABRE UN CONTRACARGO EN SHOPIFY Y LO GANA.,
#108218,DEVOLUCIÓN CANCELADA POR PRENDA EN MAL ESTADO,EL CLIENTE MANDA UNA DEVOLUCIÓN CON UNAS BRAGAS Y UN SALVASLIP USADO,TIENDA,INCIDENCIAS/WhatsApp_Video_2026-01-19_at_12.59.49.mp4,SOLUCIONADO,dunia sanchis rodriguez,01/19/2026,CANCELAMOS LA DEVOLUCIÓN Y ENVIAMOS LA PRENDA DE VUELTA AL CLIENTE,19/01/2026
#115493,FALTAN PRENDAS EN EL PEDIDO,LE LLEGAN DOS DE CUATRO PRENDAS PEDIDAS,MAIL,INCIDENCIAS/Captura_de_pantalla_2026-01-19_162952.png,EN CURSO,dunia sanchis rodriguez,01/19/2026,SOLICITAMOS A BIGBLUE REVISAR EL PEDIDO,
#112801,FALTA PIN PARA RECOGER EL PAQUETE,"EL PAQUETE LLEVA DESDE EL 7 EN EL PUNTO PACK, EL CLIENTE HA INTENTADO RECOGERLO EN VARIAS OCASIONES PERO LE PONE QUE EL PIN NO ES VALIDO. LO RECLAMAMOS A BIGBLUE Y LLAMAMOS AL PUNTO PACK. A DIA 17 DE FEBRERO NO TENEMOS NOTICIAS",MAIL,,EN CURSO,dunia sanchis rodriguez,01/20/2026,,
#115532,PEDIDO MAL ENTREGADO,CLIENTE PIDE UN POLAR CLASICO SIN BANDERA Y LE LLEGA CON LA BANDERA BORDADA,MAIL,"INCIDENCIAS/Captura_de_pantalla_2026-01-21_131708.png, INCIDENCIAS/Captura_de_pantalla_2026-01-21_131716.png",SOLUCIONADO,dunia sanchis rodriguez,01/21/2026,BORDAMOS UNA NUEVA PRENDA Y ENVIAMOS CON RETORNO,
#116776,FALTAN PRENDAS EN EL PEDIDO,CLIENTE PIDE DOS HOODIES Y SOLO LE LLEGA UNA. BIGBLUE,MAIL,,SOLUCIONADO,dunia sanchis rodriguez,01/21/2026,RECLAMAMOS A BIGBLUE y BIGBLUE ASUME LOS COSTOS PORQUE AL REVISAR VEN QUE FALTAN PRENDAS,21/01/2026
#115493,FALTAN PRENDAS EN EL PEDIDO,LE LLEGAN 1 DE 3 PRENDAS. RECLAMAMOS A BIGBLUE PERO INDICAN QUE EL PEDIDO HA SALIDO COMPLETO.,MAIL,,EN CURSO,dunia sanchis rodriguez,01/21/2026,RECLAMADO A BIGBLUE PERO DICEN QUE EL PEDIDO HA SALIDO COMPLETO DE ALLI.,
#112203,FALTAN PRENDAS EN EL PEDIDO,LE LLEGAN 1 DE 3 PRENDAS,MAIL,,EN CURSO,dunia sanchis rodriguez,01/21/2026,RECLAMADO A BIGBLUE PERO INDICAN QUE EL PEDIDO HA SALIDO COMPLETO,
"98549 ",PEDIDO NO ENVIADO,"PEDIDO DEL 26 DE NOVIEMBRE, SE ENVIA EN DOS PAQUETES, UNO DE ELLOS LLEGA PERO EL OTRO NO Y MARCA COMO NO ENVIADO DESDE ALMACÉN. HE RECLAMADO MUCHAS VECES ESTE PEDIDO A ADRIAN PERO NO HE OBTENIDO RESPUESTA. VOY A ENVIARLE DE NUEVO EL PEDIDO AL CLIENTE CON UNA CAMISETA EXTRA POR LAS MOLESTIAS.",MAIL,,EN CURSO,dunia sanchis rodriguez,01/21/2026,RECLAMADO A ADRIAN Y A MRW,
115397,PEDIDO RETRASADO O PERDIDO,"PEDIDO DEL 10 DE ENERO, ENVIADO EL 14, INPOST SE SUPONE QUE AVISA AL CLIENTE POR POSIBLE ROBO DEL PEDIDO. LO RECLAMAMOS A INPOST",MAIL,,EN CURSO,dunia sanchis rodriguez,01/21/2026,RECLAMADO A INPOST,
#115852,PEDIDO ROBADO,"EL CLIENTE ABRE EL PUDO Y SE ENCUENTRA CON EL PAQUETE VACÍO, COMPLETAMENTE MANIPULADO",MAIL,"INCIDENCIAS/Captura_de_pantalla_2026-01-21_174507.png, INCIDENCIAS/Captura_de_pantalla_2026-01-21_174512.png",SOLUCIONADO,dunia sanchis rodriguez,01/21/2026,RECLAMADO A BIGBLUE,
#109349,PEDIDO RETRASADO O PERDIDO,"PEDIDO DEL 23 DE DICIEMBRE, ENVIADO EL 29 Y A DIA 22 DE ENERO SIGUE SIN SER ENTREGADO. RECLAMAMOS A INPOST",MAIL,,EN CURSO,dunia sanchis rodriguez,01/22/2026,RECLAMADO A INPOST,
#105880,PEDIDO NO ENVIADO,"NO LLEGO A SALIR DE LA TIENDA, AL CLIENTE SE LE DICE QUE ES EXTRAVIADO POR LA AGENCIA DE ENVIOS ",MAIL,,SOLUCIONADO,dunia sanchis rodriguez,01/22/2026,"REEMBOLSADO, NO QUIERE OTRA PRENDA",
#95834,FALTAN PRENDAS EN LA DEVOLUCION,LE HACEMOS EL CAMBIO MANUAL PORQUE SE LE ENVIO MAL Y CUANDO NOS HA LLEGADO FALTA LA CREWNECK,TIENDA,,EN CURSO,dunia sanchis rodriguez,01/26/2026,,
"107407 ",PEDIDO NO ENTREGADO AL CLIENTE,"PEDIDO DEL 18 DE DICIEMBRE, EL 30 MARCA COMO ENTREGADO PERO NO SE LE HA ENTREGADO AL CLIENTE. ESTE SE PONE EN CONTACTO CON INPOST PERO NO LE HAN DADO NINGUNA SOLUCIÓN, SOLICITAMOS EL JUSTIFICANTE DE ENTREGA PARA ENVIARSELO AL CLIENTE",MAIL,,EN CURSO,dunia sanchis rodriguez,01/27/2026,,
115463,PEDIDO RETRASADO O PERDIDO,"PEDIDO DEL 10 DE ENERO, ESTÁ DESAPARECIDO, A ESPERAS DE QUE NOS DEN UNA RESPUESTA DESDE INPOST",MAIL,,EN CURSO,dunia sanchis rodriguez,01/29/2026,,
#115463,PEDIDO RETRASADO O PERDIDO,"PEDIDO SUPUESTAMENTE RETRASADO INPOST, A ESPERAS DE QUE NOS LO ENVIEN AL ALMACÉN DE NUEVO",MAIL,,EN CURSO,dunia sanchis rodriguez,01/29/2026,,
#113802,PAYPAL,LE REEMBOLSAMOS EL PEDIDO Y PAYPAL TAMBIEN SE LO HA REEMBOLSADO. LE TENEMOS QUE PEDIR A POPI QUE ENVIE UNA FACTURA AL CLIENTE PARA QUE NOS ABONE EL COSTE DEL PEDIDO YA QUE SE LO HAN REEMBOLSADO DOBLE,MAIL,,EN CURSO,dunia sanchis rodriguez,01/29/2026,,
#118001,PEDIDO RETRASADO O PERDIDO,"SUPUESTA PÉRDIDA DE BIGBLUE Y SEUR, ESTAMOS A ESPERAS DE QUE NOS DEN UNA RESPUESTA POR PARTE DE ALMACÉN.",MAIL,,EN CURSO,dunia sanchis rodriguez,02/10/2026,A DIA 16 DE FEBRERO NOS RESPONDE BIGBLUE DICIENDO QUE EL PAQUETE HA SIDO ENTREGADO AL CLIENTE PERO EL CLIENTE NO HA RECIBIDO NADA.,
#114368,CONTRACARGO,"EL CLIENTE NO RECOGE EL PEDIDO DEL PUNTO PACK Y ABRE UN CONTRACARGO. NOS COMENTA QUE YA HA RECIBIDO EL DINERO EN SU CUENTA ",MAIL,,SOLUCIONADO,dunia sanchis rodriguez,02/16/2026,,
#118839,CONTRACARGO,AL CLIENTE LE LLEGAN LAS PRENDAS CORRECTAMENTE Y ABRE UN CONTRACARGO,MAIL,,Not started,,,,
117490,PEDIDO RETRASADO O PERDIDO,"PEDIDO DEL 22 DE ENERO, TODAVÍA NO LE HA LLEGADO AL CLIENTE",MAIL,,EN CURSO,dunia sanchis rodriguez,02/16/2026,,
120127,FALTAN PRENDAS EN EL PEDIDO,FALTAN DOS PRENDAS DE TRES QUE COMPONE EL PEDIDO,MAIL,,EN CURSO,dunia sanchis rodriguez,02/20/2026,,
#120558,MAL BORDADO,LE LLEGA CON LAS INICIALES EN LA MANGA INCORRECTA,MAIL,INCIDENCIAS/Captura_de_pantalla_2026-02-25_145830.png,EN CURSO,dunia sanchis rodriguez,02/26/2026,LE BORDAMOS UNO DE NUEVO,
