ID_Pedido,Texto_Incidencia,Categoria_Origen
ID_ed171ff5,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_9609bddf,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_d7843f66,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_c7e1aef7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_a8f0901f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_7d89b0b2,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_5fad4d12,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_b1d351b7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_a3e784b5,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_3f714d10,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_c12df2f9,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_eb559800,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_41d447de,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_7e9db845,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_f52aa8a8,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_a7803160,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_26554382,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_ae0d42e7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_e4f91b05,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_7ff837c2,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_bcf9e7e7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_71b82b5d,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_d45c067e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_48994982,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_77cf9641,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_fed361c4,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_82b34dff,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_0122ef0d,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_4e9a17a6,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_680f434f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_116a5512,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_21f0b882,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_b8fb4db7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_50318e3a,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_934138d5,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_d26fe9f9,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_057fd1e4,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_90cc11b5,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_26f1f136,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_2198322f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_e8e0f825,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_22ef6ef5,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_39630d63,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_20f2e1f1,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_c012492e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_63d18be7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_f17af0a8,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_00ba4ffa,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_9d136587,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_4fccb2d5,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_0d701840,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_fb7a876b,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_97f9d439,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_4b5cd8bf,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_76547512,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_99e74c3a,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_2f934b36,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_8b2c1d25,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_64a526e7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_53716c67,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_7546a68e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_85bc9a5f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_98134a57,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_1608a00e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_e6f30b71,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_5e325048,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_3d6ba5c7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_295f9721,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_93dc35ea,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_4900c05f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_91c2b208,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_f15af934,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_629c1ae2,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_e41f2d8c,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_f395a8ca,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_97ece9f0,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_f6ec05c6,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_b90e3249,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_21c24085,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_8e1f647e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_29d78f7a,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_b9ca7150,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_f3505aff,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_7e148497,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_d9358b45,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_b9ca7150,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_18a55a25,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_b23cede9,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_39d55c23,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_7093d9ac,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_752b9091,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_871bb245,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_76192798,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_42c2272b,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_84a3dea7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_68714384,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_a9183d8e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_34b948a6,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_baadcfa2,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_a3aaa69b,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_b81f8a83,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_084a1876,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_46547202,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_890cd5b9,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_cb9c62bb,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_836d23a3,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_09c2b3e9,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_dbcec124,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_512b3327,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_87477397,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_36ae2936,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_757257de,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_2f56c62b,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_43f07932,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_bb90432e,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_6af6b956,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_c7050196,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_daa1f3a5,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_968b4d82,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_49f9a979,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_041d7efc,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_1250a938,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_553030dc,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_ab557ba8,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_378cf822,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_2ca6f6fc,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_27c8d3a0,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_f59b9ba7,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_dcb59c8e,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_a01f3bc5,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_d0737876,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_33dc0c02,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_4535b7ed,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_adc7b5b6,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_e9a84689,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_282c87f7,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_0ef80d90,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_9d2f9fad,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_52c4a0e1,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_5be90927,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_758cfbf0,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_02495b8e,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_edaf8b2b,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_d9e37989,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_ccafa0c8,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_c23bf9d3,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_1fd2bbc6,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_b315cd26,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_199392bd,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_7e148497,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_6f106c58,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_247005a6,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_07bca23f,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_ebe75e1f,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_5bf1e153,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_7a7c7c71,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_b84bfab9,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_3f610bc5,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_4942c5fe,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_76d71f0d,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_9b342ef1,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_76b03933,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_794057e0,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_802978a8,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_3d74a373,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_b7f54d39,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_86a2025a,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_e2f8ad6a,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
ID_ab133a39,[OCULTO POR PRIVACIDAD],TARA PROVEEDOR
